product_code,name,brand,category,status,price_note,availability_note,datasheet_url,technical_notes,image_url,sort_order,stock_status,stock_quantity,low_stock_threshold,inventory_notes,last_stock_checked_at
fiber-leviton-om3,Leviton OM3 Fiber Cable,Leviton,Fiber Optic Systems,active,,Confirm availability before quotation,,,/products/fiber-leviton-om3.png,1,unknown,,,,
fiber-om3-12-core,OM3 Multimode 12 Core Fiber Cable,Generic / Multi-brand,Fiber Optic Systems,active,,Confirm availability before quotation,,,/products/fiber-om3-12-core.png,2,unknown,,,,
fiber-armored-outdoor,Outdoor Armored Fiber Cable,Generic / Multi-brand,Fiber Optic Systems,active,,Confirm availability before quotation,,,/products/fiber-armored-outdoor.png,3,unknown,,,,
fiber-odf,ODF Optical Distribution Frame,Generic / Multi-brand,Fiber Optic Systems,active,,Confirm availability before quotation,,,/products/fiber-odf.png,4,unknown,,,,
fiber-panel-24p,Fiber Patch Panel 24P,Generic / Multi-brand,Fiber Optic Systems,active,,Confirm availability before quotation,,,/products/fiber-panel-24p.png,5,unknown,,,,
fiber-splice-trays,Splice Trays,Generic / Multi-brand,Fiber Optic Systems,active,,Confirm availability before quotation,,,/products/fiber-splice-trays.png,6,unknown,,,,
fiber-lc-sc-connectors,LC / SC Connectors,Generic / Multi-brand,Fiber Optic Systems,active,,Confirm availability before quotation,,,/products/fiber-lc-sc-connectors.png,7,unknown,,,,
fiber-pigtail-lc-sc,Pigtail LC / SC,Generic / Multi-brand,Fiber Optic Systems,active,,Confirm availability before quotation,,,/products/fiber-pigtail-lc-sc.png,8,unknown,,,,
fiber-coupler-lc-sc,Coupler LC / SC,Generic / Multi-brand,Fiber Optic Systems,active,,Confirm availability before quotation,,,/products/fiber-coupler-lc-sc.png,9,unknown,,,,
patch-fiber-lclc-om3,Fiber Patch Cord LC/LC OM3,Generic / Multi-brand,Patch Cords & Connectivity,active,,Confirm availability before quotation,,,/products/patch-fiber-lclc-om3.png,10,unknown,,,,
patch-fiber-lclc-os2,Fiber Patch Cord LC/LC Single Mode OS2,Generic / Multi-brand,Patch Cords & Connectivity,active,,Confirm availability before quotation,,,/products/patch-fiber-lclc-os2.png,11,unknown,,,,
patch-hpe-flex-om4,HPE Premier Flex LC/LC Multi-mode OM4,HPE,Patch Cords & Connectivity,active,,Confirm availability before quotation,,,/products/patch-hpe-flex-om4.png,12,unknown,,,,
patch-commscope-lclc,CommScope LC to LC Duplex Zipcord,CommScope,Patch Cords & Connectivity,active,,Confirm availability before quotation,,,/products/patch-commscope-lclc.png,13,unknown,,,,
patch-lclc-3m,Patch Cord LC/LC 3 Meter,Generic / Multi-brand,Patch Cords & Connectivity,active,,Confirm availability before quotation,,,/products/patch-lclc-3m.png,14,unknown,,,,
patch-lcsc,Patch Cord LC/SC,Generic / Multi-brand,Patch Cords & Connectivity,active,,Confirm availability before quotation,,,/products/patch-lcsc.png,15,unknown,,,,
copper-legrand-cat6,Legrand CAT6 U/UTP LSZH Cable 305M,Legrand,Copper / CAT6 Cabling,active,"EGP 8,500",Confirm availability before quotation,,,/products/copper-legrand-cat6.png,16,unknown,,,,
copper-leviton-cat6,Leviton CAT6 LSZH Network Cable 305M,Leviton,Copper / CAT6 Cabling,active,"EGP 9,850",Confirm availability before quotation,,,/products/copper-leviton-cat6.png,17,unknown,,,,
copper-panduit-cat6a,Panduit Category 6A U/UTP Copper Cable 305M,Panduit,Copper / CAT6 Cabling,active,"EGP 16,800",Confirm availability before quotation,,,/products/copper-panduit-cat6a.png,18,unknown,,,,
copper-cat6-patch,CAT6 UTP Patch Cord,Generic / Multi-brand,Copper / CAT6 Cabling,active,,Confirm availability before quotation,,,/products/copper-cat6-patch.png,19,unknown,,,,
copper-cat6a-patch,CAT6A Patch Cord,Generic / Multi-brand,Copper / CAT6 Cabling,active,,Confirm availability before quotation,,,/products/copper-cat6a-patch.png,20,unknown,,,,
fp-legrand-rj45,Legrand RJ45 Socket Category 6 UTP,Legrand,Faceplates / Keystone / RJ45,active,EGP 200,Confirm availability before quotation,,,/products/fp-legrand-rj45.png,21,unknown,,,,
fp-excel-keystone,Excel CAT6 UTP Keystone Jack,Excel,Faceplates / Keystone / RJ45,active,,Confirm availability before quotation,,,/products/fp-excel-keystone.png,22,unknown,,,,
fp-surface-back-box,Surface Mount Back Box,Generic / Multi-brand,Faceplates / Keystone / RJ45,active,,Confirm availability before quotation,,,/products/fp-surface-back-box.png,23,unknown,,,,
fp-single-faceplate,Single Gang Faceplate,Generic / Multi-brand,Faceplates / Keystone / RJ45,active,,Confirm availability before quotation,,,/products/fp-single-faceplate.png,24,unknown,,,,
fp-rj45-box,RJ45 Connector Box,Generic / Multi-brand,Faceplates / Keystone / RJ45,active,,Confirm availability before quotation,,,/products/fp-rj45-box.png,25,unknown,,,,
fp-field-plug,Field Termination Plug,Generic / Multi-brand,Faceplates / Keystone / RJ45,active,,Confirm availability before quotation,,,/products/fp-field-plug.png,26,unknown,,,,
rack-network-cabinets,Network Cabinets,Generic / Multi-brand,Cabinets / Racks / PDU,active,,Confirm availability before quotation,,,/products/rack-network-cabinets.png,27,unknown,,,,
rack-ups-cabinets,UPS Battery Cabinets,Generic / Multi-brand,Cabinets / Racks / PDU,active,,Confirm availability before quotation,,,/products/rack-ups-cabinets.png,28,unknown,,,,
rack-apc-schneider-ups,APC / Schneider-style UPS Battery Cabinets,APC / Schneider Electric style,Cabinets / Racks / PDU,active,,Confirm availability before quotation,,,/products/rack-apc-schneider-ups.png,29,unknown,,,,
rack-19in-pdu,19 Inch Rack PDU,Generic / Multi-brand,Cabinets / Racks / PDU,active,,Confirm availability before quotation,,,/products/rack-19in-pdu.png,30,unknown,,,,
rack-accessories,Rack Accessories,Generic / Multi-brand,Cabinets / Racks / PDU,active,,Confirm availability before quotation,,,/products/rack-accessories.png,31,unknown,,,,
cable-legrand-duct,Legrand PVC Decorative Duct,Legrand,Cable Management / Duct Systems,active,,Confirm availability before quotation,,,/products/cable-legrand-duct.png,32,unknown,,,,
cable-trunking,Cable Trunking,Generic / Multi-brand,Cable Management / Duct Systems,active,,Confirm availability before quotation,,,/products/cable-trunking.png,33,unknown,,,,
cable-routing-acc,Cable Routing Accessories,Generic / Multi-brand,Cable Management / Duct Systems,active,,Confirm availability before quotation,,,/products/cable-routing-acc.png,34,unknown,,,,
cctv-hikvision-cams,Hikvision Network Cameras,Hikvision,CCTV & Security,active,,Confirm availability before quotation,,,/products/cctv-hikvision-cams.png,35,unknown,,,,
cctv-connectivity,CCTV Connectivity,Generic / Multi-brand,CCTV & Security,active,,Confirm availability before quotation,,,/products/cctv-connectivity.png,36,unknown,,,,
cctv-cabling,Camera Cabling,Generic / Multi-brand,CCTV & Security,active,,Confirm availability before quotation,,,/products/cctv-cabling.png,37,unknown,,,,
cctv-control-room,Control-room Readiness,Generic / Multi-brand,CCTV & Security,active,,Confirm availability before quotation,,,/products/cctv-control-room.png,38,unknown,,,,
rack-schneider-enclosure-700-gvbc7,Schneider Electric Enclosure 700-GVBC7,Schneider Electric,Cabinets / Racks / PDU,active,"EGP 40,000",Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,39,unknown,,,,
fiber-enclosure-24-core-china,FIBER ENCLOSURE 24 CORE CHINA,Generic / China,Fiber Optic Systems,active,"EGP 1,250",Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,40,unknown,,,,
patch-ready-cable-sm-lclc-80m-14130646,80 METER READY CABLE SM LC/LC IN/OUT - 14130646,Generic / Multi-brand,Patch Cords & Connectivity,active,"EGP 9,000",Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,41,unknown,,,,
patch-ready-cable-sm-lclc-60m-14130646,60 METER READY CABLE SM LC/LC IN/OUT - 14130646,Generic / Multi-brand,Patch Cords & Connectivity,active,"EGP 3,500",Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,42,unknown,,,,
fiber-coupler-sc-simplex-mmsm,COUPLER SC SIMPLEX MM/SM - NONE,Generic / Multi-brand,Fiber Optic Systems,active,EGP 25,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,43,unknown,,,,
old-patch-cord-lc-lc-sc-mm-om3-3-meter-none,PATCH CORD LC/LC-SC MM OM3 /3 METER - NONE,Generic / Multi-brand,Patch Cords & Connectivity,active,EGP 225,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,44,unknown,,,,
old-patch-cord-lc-lc-sm-3-meter-none,PATCH CORD LC/LC SM 3 METER - NONE,Generic / Multi-brand,Patch Cords & Connectivity,active,EGP 225,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,45,unknown,,,,
old-fiber-patch-cord-om2-ibm-13-m-lc-lc-fibre-channel-cable-,FIBER PATCH CORD OM2 IBM - 13 M LC/LC FIBRE CHANNEL CABLE - 12R9559,IBM,Patch Cords & Connectivity,active,EGP 500,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,46,unknown,,,,
old-commscope-fdxlclc42-mxf010-2-fiber-om4-multimode-lc-to-l,"CommScope FDXLCLC42-MXF010 | 2 Fiber, OM4, Multimode, LC To LC Duplex, Zipcord",CommScope,Patch Cords & Connectivity,active,EGP 950,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,47,unknown,,,,
old-cable-fiber-optic-sc-to-cable-50-125-3-3-1-0m-om3-nkfpx1,Cable Fiber Optic SC To Cable 50/125 3.3' (1.0m) OM3 - NKFPX1BN3NNM001,Generic / Multi-brand,Patch Cords & Connectivity,active,EGP 150,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,48,unknown,,,,
old-fibre-optic-cable-assemblies-nk-2-fiber-om3-1-6mm-lszh-j,Fibre Optic Cable Assemblies NK 2-fiber OM3 1.6mm LSZH Jacket Patch Cord LC Duplex,Generic / Multi-brand,Patch Cords & Connectivity,active,EGP 550,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,49,unknown,,,,
old-hp-original-aj837-63002-15m-multi-mode-om3-lc-lc-fiber,HP ORIGINAL AJ837-63002 15M MULTI-MODE OM3 LC-LC FIBER,HP,Patch Cords & Connectivity,active,"EGP 1,100",Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,50,unknown,,,,
old-hpe-premier-flex-lc-lc-multi-mode-om4-2-fiber-15m-cable-,HPE Premier Flex LC/LC Multi-mode OM4 2 Fiber 15m Cable - QK735A,HPE,Patch Cords & Connectivity,active,"EGP 1,800",Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,51,unknown,,,,
old-hpe-premier-flex-lc-lc-multi-mode-om4-2-fiber-2m-cable-q,HPE Premier Flex LC/LC Multi-mode OM4 2 Fiber 2m Cable - QK733A,HPE,Patch Cords & Connectivity,active,EGP 200,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,52,unknown,,,,
old-optical-distribution-frame-odf-z2203190330,Optical Distribution Frame - ODF - Z2203190330,Generic / Multi-brand,Fiber Optic Systems,active,"EGP 1,500",Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,53,unknown,,,,
old-fiber-patch-cord-10m-lc-single-mode-os2-d1329-lculcu7102,Fiber Patch Cord 10M LC - Single Mode OS2 - D1329-LCULCU7102L2DYW,Generic / Multi-brand,Patch Cords & Connectivity,active,EGP 350,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,54,unknown,,,,
old-fiber-patch-cord-5m-lc-single-mode-os2-d1329-lculcu752l2,Fiber Patch Cord 5M LC - Single Mode OS2 - D1329-LCULCU752L2DYW,Generic / Multi-brand,Patch Cords & Connectivity,active,EGP 250,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,55,unknown,,,,
old-fiber-patch-cord-10m-lc-multi-mode-om3-d1329-lculcu2102l,Fiber Patch Cord 10M LC - Multi Mode OM3 - D1329-LCULCU2102L0AQ,Generic / Multi-brand,Patch Cords & Connectivity,active,EGP 300,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,56,unknown,,,,
old-fiber-patch-cord-1m-lc-multi-mode-om3-d1329-lculcu212l0a,Fiber Patch Cord 1M LC - Multi Mode OM3 - D1329-LCULCU212L0AQ,Generic / Multi-brand,Patch Cords & Connectivity,active,EGP 100,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,57,unknown,,,,
old-pigtail-lc-multimode-d1619-lcu201,Pigtail -LC - Multimode - D1619-LCU201,Generic / Multi-brand,Fiber Optic Systems,active,EGP 30,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,58,unknown,,,,
old-coupler-lc-multimode-d1629-lcummd,Coupler -LC - Multimode - D1629-LCUMMD,Generic / Multi-brand,Fiber Optic Systems,active,EGP 22,Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,59,unknown,,,,
old-leviton-1u-patch-panel-fiber-24p-unloaded-001-5r1ul-f03,Leviton 1U Patch Panel Fiber 24P Unloaded - 001-5R1UL-F03,Leviton,Fiber Optic Systems,active,"EGP 7,500",Confirm availability before quotation,,Imported from old site screenshot source; image requires confirmation,,60,unknown,,,,
